                                                    제품명      가격       구매건수
63         포스트 콘푸라이트 660gX3개 기획팩: 든든한 아침~  14,900   구매 1,715
64        켈로그 후루트링 1200g 씨리얼/과자/간식/스낵/포스트  13,700     구매 208
65                  리얼그래놀라 크런치 오트 400g 2개  11,900      구매 18
66                         켈로그 스페셜K 1300g  12,900   구매 1,156
67              퀘이커 마시는 오트밀 F 단백질 16개 1박스  38,400     구매 610
68              그래놀라 블루베리 1500g (500gx3개)  21,580      구매 93
69                콘푸라이트 시리얼 600gx2개+랜덤사은품  10,500  구매 23,683
70                     켈로그 스페셜K 1300g X2개  23,500     구매 966
71            퀘이커 즉석 오트밀 컵 구운 김 50g X 12컵  19,200   구매 1,226
72            포스트 콘푸라이트 씨리얼 600gX3개+사은품2개  14,400   구매 1,727
73                 시리얼 오곡코코볼 1000g +사은품랜덤  10,500   구매 4,794
74            포스트 씨리얼 초코 후레이크 600gX2개+사은품  13,900      구매 48
75               골든 그래놀라 아몬드빈 360gX4개+사은품  19,500      구매 21
76              켈로그 콘푸로스트 2400g (600gx4개)  19,480     구매 429
77                  프로틴 그래놀라 330g 2종 +사은품  10,900   구매 1,463
78                     포스트 오곡 코코볼 570gX2개  10,900     구매 663
79            포스트 오레오오즈 500g+코코볼 570g+사은품  13,500  구매 19,114
80          켈로그 오곡첵스 초코 씨리얼 대용량 1100g/시리얼  11,900   구매 1,885
81              포스트 씨리얼 콘푸라이트 600gX2개+사은품  10,500     구매 679
82            포스트 현미 그래놀라 씨리얼 900gX2개+사은품  24,500     구매 247
83      씨리얼 콘푸라이트 600g + 아몬드 후레이크620g+사은품  12,200   구매 1,110
84      켈로그 오곡첵스 초코 씨리얼 대용량   1100gX2개/간식  21,900     구매 540
85                   포스트 콘푸라이트 600g x 3개입  12,900      구매 44
86                    포스트 오곡 코코볼570g x2개입  11,200      구매 45
87                           넛츠뮤즐리500gx2봉  13,500     구매 268
88               포스트 씨리얼 오레오오즈 850g+키친락증정  15,500      구매 48
89               씨리얼 듀오링 오즈 400gX2개+키친락증정  15,500      구매 49
90           그래놀라 크랜베리아몬드 1710g (570gx3개)  18,980   구매 1,758
91          켈로그 아몬드 크랜베리 그래놀라 콘푸로스트 3종 세트  14,900      구매 52
92           포스트 팝콘 그래놀라 오리지널 350gX2개+사은품  13,500      구매 83
93            그래놀라 크랜베리 아몬드 570gx3 +사은품랜덤  19,900      구매 29
94                        오곡 코코볼 1kg x 2개  16,990     구매 291
95         콘푸라이트 밀크바 4입x3박스+사은품랜덤: 든든한아침~  10,900  구매 13,115
96                포스트 아몬드후레이크 620gX2개+사은품  13,900   구매 3,764
97             대용량 씨리얼 오곡 코코볼 570gX2개+사은품  12,200   구매 2,716
98                    포스트 콘푸라이트 1100g+사은품  10,500     구매 631
99    포스트 콘푸라이트 600g+600g +랜덤사은품/쿠폰가 9220  11,370   구매 2,207
